text,label
"Breaking: Scientists discover a new planet similar to Earth!",FAKE
"Government launches new healthcare policy for senior citizens",REAL
"Aliens have landed in California, eyewitnesses confirm!",FAKE
"NASA successfully lands rover on Mars for new research mission",REAL
"Flat Earth theory confirmed by top scientists!",FAKE
"Stock market reaches record high after positive economic report",REAL
"New study proves drinking coffee increases lifespan",REAL
"Secret government files leaked: Time travel exists!",FAKE
"Local town introduces free internet for all residents",REAL
"AI technology now able to predict earthquakes days in advance",REAL
"Hollywood actor reveals he is a robot in shocking interview!",FAKE
"Medical researchers develop new cure for common flu",REAL
"Social media company shuts down due to privacy violations",REAL
"Zombie virus outbreak reported in remote village!",FAKE
"Electric cars to replace all petrol vehicles by 2035",REAL
"Man claims he was abducted by aliens and lived on Mars!",FAKE
"New policy to provide free education for underprivileged children",REAL
"Scientists warn that ocean levels are rising faster than predicted",REAL
"Government to introduce strict new internet regulations",REAL
"Researchers discover a lost city hidden under the Amazon rainforest",REAL
"Secret message found on the Moon, says astronaut",FAKE
"New smartphone released with battery life lasting 7 days",REAL
"Ghost spotted in historical museum, experts investigate!",FAKE
"Doctors confirm that chocolate can help in weight loss",REAL
"Company develops a device that lets you control dreams",FAKE
"Local bakery makes the world's largest chocolate cake",REAL
"Politician caught using AI to generate fake speeches",REAL
"Scientists confirm parallel universes exist through quantum experiments",FAKE
"New AI-powered glasses help blind people see",REAL
"Government bans social media to control fake news spread",REAL
"World’s first flying car officially approved for use",REAL
"Man finds 100-year-old letter hidden inside antique clock",REAL
"Earth is actually hollow, reveals new research study!",FAKE
"Local startup creates water that never evaporates",FAKE
"Scientists develop a pill that replaces the need for food",FAKE
"Massive dinosaur fossil found in farmer’s backyard",REAL
